nephilim heritage	"heritage:nephilim"	Nephilim
viper strike	"feat:viper-strike"	Viper Strike
know your enemy	"feat:know-your-enemy"	Know Your Enemy
avenger of envy	"feat:avenger-of-envy"	Avenger of Envy
flamboyant athlete	"feat:flamboyant-athlete"	Flamboyant Athlete
ammunition thaumaturgy	"feat:ammunition-thaumaturgy"	Ammunition Thaumaturgy
sociable	"feat:sociable"	Sociable
chaining mutation	"feat:chaining-mutation"	Chaining Mutation
slay giants unseen	"feat:slay-giants-unseen"	Slay Giants Unseen
godless healing	"feat:godless-healing"	Godless Healing
barreling charge	"feat:barreling-charge"	Barreling Charge
versatile signature	"feat:versatile-signature"	Versatile Signature
mythic strike	"feat:mythic-strike"	Mythic Strike
unusual composition	"feat:unusual-composition"	Unusual Composition
ghost blade	"feat:ghost-blade"	Ghost Blade
mature animal companion	"feat:mature-animal-companion-ranger"	Mature Animal Companion (Ranger)
surprising leap	"feat:surprising-leap"	Surprising Leap
roadkill	"feat:roadkill"	Roadkill
receive prayers	"feat:receive-prayers"	Receive Prayers
social camouflage	"feat:social-camouflage"	Social Camouflage
rune-singer	"feat:rune-singer"	Rune-Singer
jousting mount	"feat:jousting-mount"	Jousting Mount
expanded necromancy	"feat:expanded-necromancy"	Expanded Necromancy
fish from the falls' edge	"feat:fish-from-the-falls-edge"	Fish From the Falls' Edge
project persona	"feat:project-persona"	Project Persona
fear no pain!	"feat:fear-no-pain"	Fear No Pain!
elementalist dedication	"feat:elementalist-dedication"	Elementalist Dedication
enduring quickness	"feat:enduring-quickness"	Enduring Quickness
mighty dragonet	"feat:mighty-dragonet"	Mighty Dragonet
artillerist dedication	"feat:artillerist-dedication"	Artillerist Dedication
vibrant display	"feat:vibrant-display"	Vibrant Display
butterfly blade dedication	"feat:butterfly-blade-dedication"	Butterfly Blade Dedication
inner breath	"feat:inner-breath"	Inner Breath
centaur lore	"feat:centaur-lore"	Centaur Lore
portents of the haruspex	"feat:portents-of-the-haruspex"	Portents of the Haruspex
very, very sneaky	"feat:very-very-sneaky"	Very, Very Sneaky
verduran ambush	"feat:verduran-ambush"	Verduran Ambush
rattle the earth	"feat:rattle-the-earth"	Rattle the Earth
peafowl strut	"feat:peafowl-strut"	Peafowl Strut
desperate revival	"feat:desperate-revival"	Desperate Revival
greater cruelty	"feat:greater-cruelty"	Greater Cruelty
scroll adept	"feat:scroll-adept"	Scroll Adept
extend boost	"feat:extend-boost"	Extend Boost
wild stride	"feat:wild-stride"	Wild Stride
linguist dedication	"feat:linguist-dedication"	Linguist Dedication
environmental guide	"feat:environmental-guide"	Environmental Guide
flexible form	"feat:flexible-form"	Flexible Form
strain mind	"feat:strain-mind"	Strain Mind
witch warden	"feat:witch-warden"	Witch Warden
minor omen	"feat:minor-omen"	Minor Omen
azarketi purification	"feat:azarketi-purification"	Azarketi Purification
go with the flow	"feat:go-with-the-flow"	Go with the Flow
cyclonic ascent	"feat:cyclonic-ascent"	Cyclonic Ascent
propulsive mutation	"feat:propulsive-mutation"	Propulsive Mutation
incredible luck	"feat:incredible-luck-swashbuckler"	Incredible Luck (Swashbuckler)
ectoplasmic aura	"feat:ectoplasmic-aura"	Ectoplasmic Aura
mummy's despair	"feat:mummys-despair"	Mummy's Despair
twilight speaker dedication	"feat:twilight-speaker-dedication"	Twilight Speaker Dedication
mature beastmaster companion	"feat:mature-beastmaster-companion"	Mature Beastmaster Companion
pactbinder dedication	"feat:pactbinder-dedication"	Pactbinder Dedication
call of the green man	"feat:call-of-the-green-man"	Call of the Green Man
stone forge of the first	"feat:stone-forge-of-the-first"	Stone Forge of the First
rivethun spiritual attunement	"feat:rivethun-spiritual-attunement"	Rivethun Spiritual Attunement
discreet inquiry	"feat:discreet-inquiry"	Discreet Inquiry
interrogate	"feat:interrogate"	Interrogate
elemental explosion	"feat:elemental-explosion"	Elemental Explosion
swimmer's guidance	"feat:swimmers-guidance"	Swimmer's Guidance
parry and riposte	"feat:parry-and-riposte"	Parry and Riposte
intensify investiture	"feat:intensify-investiture"	Intensify Investiture
wolf drag	"feat:wolf-drag"	Wolf Drag
unbound leaper	"feat:unbound-leaper"	Unbound Leaper
basic devotion	"feat:basic-devotion"	Basic Devotion
ignite the sun	"feat:ignite-the-sun"	Ignite the Sun
flinging blow	"feat:flinging-blow"	Flinging Blow
claws of the dragon	"feat:claws-of-the-dragon"	Claws of the Dragon
tempo shift	"feat:tempo-shift"	Tempo Shift
cloaking pulse	"feat:cloaking-pulse"	Cloaking Pulse
captivating curiosity	"feat:captivating-curiosity"	Captivating Curiosity
jotunborn grappler	"feat:jotunborn-grappler"	Jotunborn Grappler
talismanic sage	"feat:talismanic-sage"	Talismanic Sage
for love, for lightning	"feat:for-love-for-lightning"	For Love, For Lightning
pride hunter	"feat:pride-hunter"	Pride Hunter
advanced domain	"feat:advanced-domain"	Advanced Domain
trick magic item	"feat:trick-magic-item"	Trick Magic Item
twirling strike	"feat:twirling-strike"	Twirling Strike
trapsmith dedication	"feat:trapsmith-dedication"	Trapsmith Dedication
wilderness born	"feat:wilderness-born"	Wilderness Born
like a roach	"feat:like-a-roach"	Like a Roach
bardic lore	"feat:bardic-lore"	Bardic Lore
unwavering mien	"feat:unwavering-mien"	Unwavering Mien
scatter swarm	"feat:scatter-swarm"	Scatter Swarm
emergency targe	"feat:emergency-targe"	Emergency Targe
emboldened with glorious purpose	"feat:emboldened-with-glorious-purpose"	Emboldened with Glorious Purpose
folk healer	"feat:folk-healer"	Folk Healer
dismal harvest	"feat:dismal-harvest"	Dismal Harvest
graveshift	"feat:graveshift"	Graveshift
bullet dancer burn	"feat:bullet-dancer-burn"	Bullet Dancer Burn
core rejuvenation	"feat:core-rejuvenation"	Core Rejuvenation
efficient controls	"feat:efficient-controls"	Efficient Controls
impaling bone	"feat:impaling-bone"	Impaling Bone
spell acceleration	"feat:spell-acceleration"	Spell Acceleration
shield from spells	"feat:shield-from-spells"	Shield from Spells
hit and run	"feat:hit-and-run"	Hit and Run
solar detonation	"feat:solar-detonation"	Solar Detonation
acclimatization	"feat:acclimatization"	Acclimatization
scrollmaster dedication	"feat:scrollmaster-dedication"	Scrollmaster Dedication
draconic acolyte dedication	"feat:draconic-acolyte-dedication"	Draconic Acolyte Dedication
play to the crowd	"feat:play-to-the-crowd-dandy"	Play to the Crowd (Dandy)
steady spellcasting	"feat:steady-spellcasting"	Steady Spellcasting
chance death	"feat:chance-death"	Chance Death
rivethun involutionist dedication	"feat:rivethun-involutionist-dedication"	Rivethun Involutionist Dedication
psi strikes	"feat:psi-strikes"	Psi Strikes
auspicious mount	"feat:auspicious-mount"	Auspicious Mount
scalding spit	"feat:scalding-spit"	Scalding Spit
cornered fury	"feat:cornered-fury"	Cornered Fury
billowing wings	"feat:billowing-wings"	Billowing Wings
woodworker	"feat:woodworker"	Woodworker
reflexive riposte	"feat:reflexive-riposte"	Reflexive Riposte
internal compartment	"feat:internal-compartment"	Internal Compartment
exceptional follower	"feat:exceptional-follower"	Exceptional Follower
vigilante dedication	"feat:vigilante-dedication"	Vigilante Dedication
ascend	"feat:ascend"	Ascend
experienced tracker	"feat:experienced-tracker"	Experienced Tracker
impaling briars	"feat:impaling-briars"	Impaling Briars
riptide mount	"feat:riptide-mount"	Riptide Mount
unfettered halfling	"feat:unfettered-halfling"	Unfettered Halfling
true perception	"feat:true-perception"	True Perception
imbue mindlessness	"feat:imbue-mindlessness"	Imbue Mindlessness
paralyzing jewel	"feat:paralyzing-jewel"	Paralyzing Jewel
forced entry	"feat:forced-entry"	Forced Entry
golden body	"feat:golden-body"	Golden Body
quill spray	"feat:quill-spray"	Quill Spray
scroll trickster dedication	"feat:scroll-trickster-dedication"	Scroll Trickster Dedication
steel skin	"feat:steel-skin"	Steel Skin
razmiran priest dedication	"feat:razmiran-priest-dedication"	Razmiran Priest Dedication
following smite	"feat:following-smite"	Following Smite
benefactor's majesty	"feat:benefactors-majesty"	Benefactor's Majesty
vanara weapon trickery	"feat:vanara-weapon-trickery"	Vanara Weapon Trickery
quick change	"feat:quick-change"	Quick Change
accommodating mount	"feat:accommodating-mount"	Accommodating Mount
miraculous flight	"feat:miraculous-flight"	Miraculous Flight
hellbreaker dedication	"feat:hellbreaker-dedication"	Hellbreaker Dedication
slowing strike	"feat:slowing-strike"	Slowing Strike
writing on the wall	"feat:writing-on-the-wall"	Writing On the Wall
assured ritualist	"feat:assured-ritualist"	Assured Ritualist
borrowed ability	"feat:borrowed-ability"	Borrowed Ability
craft anything	"feat:craft-anything"	Craft Anything
astral compound invocation	"feat:astral-compound-invocation"	Astral Compound Invocation
flash of omnipotence	"feat:flash-of-omnipotence"	Flash of Omnipotence
spyglass modification	"feat:spyglass-modification"	Spyglass Modification
magical shorthand	"feat:magical-shorthand"	Magical Shorthand
indomitable spirit	"feat:indomitable-spirit"	Indomitable Spirit
savage critical	"feat:savage-critical"	Savage Critical
transpose etching	"feat:transpose-etching"	Transpose Etching
scouring spark	"feat:scouring-spark"	Scouring Spark
clinging to life	"feat:clinging-to-life"	Clinging to Life
afterimage	"feat:afterimage"	Afterimage
guardian's intercept	"feat:guardians-intercept"	Guardian's Intercept
cranial detonation	"feat:cranial-detonation"	Cranial Detonation
command corpse	"feat:command-corpse"	Command Corpse
veil of bugs	"feat:veil-of-bugs"	Veil of Bugs
proud mentor	"feat:proud-mentor"	Proud Mentor
greater distracting shot	"feat:greater-distracting-shot"	Greater Distracting Shot
sabotage	"feat:sabotage"	Sabotage
fermenting liquors	"feat:fermenting-liquors"	Fermenting Liquors
shared sight	"feat:shared-sight"	Shared Sight
rupture stomp	"feat:rupture-stomp"	Rupture Stomp
harbinger's protection	"feat:harbingers-protection"	Harbinger's Protection
eyes that see eternity	"feat:eyes-that-see-eternity"	Eyes That See Eternity
volatile grease	"feat:volatile-grease"	Volatile Grease
safe house	"feat:safe-house"	Safe House
draconic scent	"feat:draconic-scent-dragon-disciple"	Draconic Scent (Dragon Disciple)
ocean's bite	"feat:oceans-bite"	Ocean's Bite
awake with a roar	"feat:awake-with-a-roar"	Awake With a Roar
invisible ink	"feat:invisible-ink"	Invisible Ink
goloma lore	"feat:goloma-lore"	Goloma Lore
bullet split	"feat:bullet-split"	Bullet Split
spraying mutation	"feat:spraying-mutation"	Spraying Mutation
forewarn	"feat:forewarn"	Forewarn
black powder boost	"feat:black-powder-boost"	Black Powder Boost
expanded domain initiate	"feat:expanded-domain-initiate"	Expanded Domain Initiate
cantrip supremacy	"feat:cantrip-supremacy"	Cantrip Supremacy
warding jewel	"feat:warding-jewel"	Warding Jewel
moment of clarity	"feat:moment-of-clarity"	Moment of Clarity
burning jet	"feat:burning-jet"	Burning Jet
tracing studies	"feat:tracing-studies"	Tracing Studies
throttle the divine	"feat:throttle-the-divine"	Throttle the Divine
vindicator dedication	"feat:vindicator-dedication"	Vindicator Dedication
oath of the slayer	"feat:oath-of-the-slayer"	Oath of the Slayer
magic ammunition	"feat:magic-ammunition"	Magic Ammunition
disperse into petals	"feat:disperse-into-petals"	Disperse Into Petals
always ready	"feat:always-ready"	Always Ready
assume earth's mantle	"feat:assume-earths-mantle"	Assume Earth's Mantle
domain focus	"feat:domain-focus"	Domain Focus
bony barrage	"feat:bony-barrage"	Bony Barrage
seeker of truths	"feat:seeker-of-truths"	Seeker of Truths
rocky flesh	"feat:rocky-flesh"	Rocky Flesh
elude the divine	"feat:elude-the-divine"	Elude the Divine
magical scrounger	"feat:magical-scrounger"	Magical Scrounger
violent vines	"feat:violent-vines"	Violent Vines
fumesoul	"feat:fumesoul"	Fumesoul
dirge of doom	"feat:dirge-of-doom"	Dirge of Doom
tweak appearances	"feat:tweak-appearances"	Tweak Appearances
winding flow	"feat:winding-flow"	Winding Flow
dragon lore	"feat:dragon-lore"	Dragon Lore
thunderclap spell	"feat:thunderclap-spell"	Thunderclap Spell
cracked mountain	"feat:cracked-mountain"	Cracked Mountain
touch of the sea	"feat:touch-of-the-sea"	Touch of the Sea
blood component substitution	"feat:blood-component-substitution"	Blood Component Substitution
share rage	"feat:share-rage"	Share Rage
to me!	"feat:to-me"	To Me!
environmental explorer	"feat:environmental-explorer"	Environmental Explorer
distracting shadows	"feat:distracting-shadows"	Distracting Shadows
resilient physiology	"feat:resilient-physiology"	Resilient Physiology
solar rejuvenation	"feat:solar-rejuvenation"	Solar Rejuvenation
expert longevity	"feat:expert-longevity"	Expert Longevity
channeled protection	"feat:channeled-protection"	Channeled Protection
determined dash	"feat:determined-dash"	Determined Dash
bond conservation	"feat:bond-conservation"	Bond Conservation
druid dedication	"feat:druid-dedication"	Druid Dedication
scamper underfoot	"feat:scamper-underfoot"	Scamper Underfoot
lead climber	"feat:lead-climber"	Lead Climber
crafter's appraisal	"feat:crafters-appraisal"	Crafter's Appraisal
siege celerity	"feat:siege-celerity"	Siege Celerity
shared tide	"feat:shared-tide"	Shared Tide
enticing dwelling	"feat:enticing-dwelling"	Enticing Dwelling
sun's fury	"feat:suns-fury"	Sun's Fury
basic rivethun spellcasting	"feat:basic-rivethun-spellcasting"	Basic Rivethun Spellcasting
preserve the moment	"feat:preserve-the-moment"	Preserve the Moment
clotting elixirs	"feat:clotting-elixirs"	Clotting Elixirs
duel spell advantage	"feat:duel-spell-advantage"	Duel Spell Advantage
numbing spice exhalation	"feat:numbing-spice-exhalation"	Numbing Spice Exhalation
divine wings	"feat:divine-wings"	Divine Wings
ironclad fortitude	"feat:ironclad-fortitude"	Ironclad Fortitude
plague rat	"feat:plague-rat"	Plague Rat
practiced defender	"feat:practiced-defender"	Practiced Defender
spellmaster dedication	"feat:spellmaster-dedication"	Spellmaster Dedication
ore fists	"feat:ore-fists"	Ore Fists
repositioning block	"feat:repositioning-block"	Repositioning Block
green tongue	"feat:green-tongue"	Green Tongue
roar mimicry	"feat:roar-mimicry"	Roar Mimicry
cruelty	"feat:cruelty"	Cruelty
precious munitions	"feat:precious-munitions"	Precious Munitions
mask of rejection	"feat:mask-of-rejection"	Mask of Rejection
rites of liberation	"feat:rites-of-liberation"	Rites of Liberation
absorb toxin	"feat:absorb-toxin"	Absorb Toxin
play dead	"feat:play-dead"	Play Dead
whirling throw	"feat:whirling-throw"	Whirling Throw
touch focus	"feat:touch-focus"	Touch Focus
cold minded	"feat:cold-minded"	Cold Minded
improved twin riposte	"feat:improved-twin-riposte-fighter"	Improved Twin Riposte (Fighter)
body barrier	"feat:body-barrier"	Body Barrier
shield of faith	"feat:shield-of-faith"	Shield of Faith
bestial brutality	"feat:bestial-brutality"	Bestial Brutality
everyone's a suspect	"feat:everyones-a-suspect"	Everyone's a Suspect
predispose settlement	"feat:predispose-settlement"	Predispose Settlement
devil allies	"feat:devil-allies"	Devil Allies
trained swimmer	"feat:trained-swimmer"	Trained Swimmer
reactive shield	"feat:reactive-shield"	Reactive Shield
zombie horde	"feat:zombie-horde-necromancer"	Zombie Horde (Necromancer)
ulfen guard dedication	"feat:ulfen-guard-dedication"	Ulfen Guard Dedication
tusks	"feat:tusks-half-orc"	Tusks (Half-Orc)
adamantine fists	"feat:adamantine-fists"	Adamantine Fists
flying kick	"feat:flying-kick"	Flying Kick
true senses	"feat:true-senses"	True Senses
control tower	"feat:control-tower"	Control Tower
basic bloodline spell	"feat:basic-bloodline-spell"	Basic Bloodline Spell
signifer armor expertise	"feat:signifer-armor-expertise"	Signifer Armor Expertise
apparition stabilization	"feat:apparition-stabilization"	Apparition Stabilization
unfettering strike	"feat:unfettering-strike"	Unfettering Strike
nosoi's mask	"feat:nosois-mask"	Nosoi's Mask
scion transformation	"feat:scion-transformation"	Scion Transformation
plentiful snares	"feat:plentiful-snares"	Plentiful Snares
kneel for no god	"feat:kneel-for-no-god"	Kneel for No God
obscured terrain	"feat:obscured-terrain"	Obscured Terrain
unrivaled builder	"feat:unrivaled-builder"	Unrivaled Builder
positive luminance	"feat:positive-luminance"	Positive Luminance
shared avoidance	"feat:shared-avoidance"	Shared Avoidance
qi center	"feat:qi-center"	Qi Center
collapse construct	"feat:collapse-construct"	Collapse Construct
a tale to believe in	"feat:a-tale-to-believe-in"	A Tale To Believe In
wild winds gust	"feat:wild-winds-gust"	Wild Winds Gust
instinctive maneuvers	"feat:instinctive-maneuvers"	Instinctive Maneuvers
soaring shape	"feat:soaring-shape"	Soaring Shape
